"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"P2RX1",1.01873470742262e-09,-0.600867803103261,0.064,0.444,1.42796043939429e-05,"AS-","P2RX1"
"ZDHHC18",2.45979656088645e-07,-0.439142637105471,0,0.167,0.00344789683939453,"AS-","ZDHHC18"
"LYPD2",3.28283543683513e-07,-1.52547578565707,0.064,0.361,0.0046015504318118,"AS-","LYPD2"
"EHD1",7.06511955207994e-07,-0.484234990640836,0.077,0.389,0.00990317807615045,"AS-","EHD1"
"MT-CYB",1.01799801790282e-06,-0.456801617485039,0.949,0.972,0.0142692782169438,"AS-","MT-CYB"
"ARID1B",1.68942619841809e-06,-0.355637630641641,0.019,0.222,0.0236806870232264,"AS-","ARID1B"
"IGKC",2.92561129496956e-06,0.886654666530116,0.679,0.333,0.0410082935215883,"AS-","IGKC"
"CEACAM3",4.75482046913833e-06,-0.309483462417888,0.006,0.167,0.066648318515912,"AS-","CEACAM3"
"S100A8",5.83144556011749e-06,1.46256243097344,0.833,0.528,0.0817393724161669,"AS-","S100A8"
"AC144652.1",2.79688781749493e-05,-0.525416516257059,0,0.111,0.392039765378265,"AS-","AC144652.1"
"ELP6",3.23045020407105e-05,-0.549124410653094,0.013,0.167,0.45281220510464,"AS-","ELP6"
"ERCC3",3.64995317896649e-05,-0.363131452776033,0.006,0.139,0.511613937095732,"AS-","ERCC3"
"MNDA",4.82163496573625e-05,0.957368925310621,0.724,0.389,0.67584857314725,"AS-","MNDA"
"SFI1",5.57794528812702e-05,-0.279206672394667,0.032,0.222,0.781860591036764,"AS-","SFI1"
"KLF3",7.99016125734064e-05,-0.627319597606643,0.269,0.556,1,"AS-","KLF3"
"S100A9",9.22494754269609e-05,0.986617685535573,0.917,0.694,1,"AS-","S100A9"
"GNLY",0.000103715050474877,-0.738244833633381,0.596,0.806,1,"AS-","GNLY"
"NANS",0.000114708426183926,-0.659583090151524,0.122,0.389,1,"AS-","NANS"
"RP11-1143G9.4",0.00012908637964942,1.98095390958955,0.532,0.222,1,"AS-","RP11-1143G9.4"
"IGHA1",0.00015762647148438,0.730344440375749,0.308,0,1,"AS-","IGHA1"
"MRPL4",0.000175699873262172,-0.357171593684997,0.096,0.333,1,"AS-","MRPL4"
"S100A12",0.000176999712266353,0.850940336934151,0.583,0.167,1,"AS-","S100A12"
"SOX4",0.000181703096160197,-0.316799866221006,0.135,0.417,1,"AS-","SOX4"
"TMEM176B",0.000190474450484781,-0.438699846881266,0.205,0.528,1,"AS-","TMEM176B"
"HLA-DPA1",0.000194236082867784,-0.805577126560356,0.699,0.917,1,"AS-","HLA-DPA1"
"RPL27",0.000240884634444911,0.347479937478915,0.974,0.972,1,"AS-","RPL27"
"BBC3",0.000289754275757598,-0.487760881227355,0.032,0.194,1,"AS-","BBC3"
