"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100B",3.70015192428669e-28,2.12026898857489,0.355,0.026,5.18650295227266e-24,"AS-","S100B"
"IGKC",1.21506582048907e-18,0.698422294191097,0.599,0.253,1.70315776057953e-14,"AS-","IGKC"
"IFITM3",7.02280395280441e-18,0.692240054921415,0.717,0.48,9.84386430064595e-14,"AS-","IFITM3"
"IGHA1",1.90680614121506e-16,0.709082053352989,0.201,0.009,2.67277016814115e-12,"AS-","IGHA1"
"CD3E",2.10991338920974e-12,-0.725307857874954,0.24,0.48,2.95746559765529e-08,"AS-","CD3E"
"RPS26",2.48731977210684e-12,0.432862317857628,0.957,0.881,3.48647612456216e-08,"AS-","RPS26"
"XIST",1.40346788688699e-11,-0.67184867967764,0,0.151,1.96724093704949e-07,"AS-","XIST"
"S100A9",1.93902878644199e-11,0.595324221849422,0.269,0.074,2.71793664995574e-07,"AS-","S100A9"
"LY6E",7.066333018461e-10,0.423053620065747,0.796,0.608,9.90487899197679e-06,"AS-","LY6E"
"RPS4Y1",2.66054547978942e-09,0.406173288939018,0.767,0.531,3.72928659902083e-05,"AS-","RPS4Y1"
"IGLC2",9.87471946164795e-09,0.497965314669611,0.244,0.08,0.000138413942693919,"AS-","IGLC2"
"HLA-A",1.61518313711527e-08,-0.267660943104002,0.993,0.991,0.000226400220329448,"AS-","HLA-A"
"PRMT2",2.78823921323318e-08,0.4619796399116,0.559,0.369,0.000390827490518894,"AS-","PRMT2"
"DDIT4",4.17392684270059e-08,-0.46494765483142,0.373,0.562,0.000585059325541342,"AS-","DDIT4"
"MYOM2",5.54028955995415e-08,0.727036968879386,0.351,0.176,0.000776582387618773,"AS-","MYOM2"
"GADD45B",2.99122233193646e-07,-0.501026129599917,0.204,0.381,0.00419279634267534,"AS-","GADD45B"
"CD74",3.4608349966139e-07,0.276454621211498,0.921,0.818,0.0048510524147537,"AS-","CD74"
"JUNB",5.6985477036574e-07,-0.384654133350343,0.559,0.73,0.00798765431621658,"AS-","JUNB"
"BTG1",7.08964681803891e-07,-0.318509160340399,0.799,0.923,0.00993755794484514,"AS-","BTG1"
"CXCR4",7.46881990573251e-07,-0.458967779747818,0.358,0.537,0.0104690448618653,"AS-","CXCR4"
"RP11-347P5.1",1.0240031455087e-05,-0.398526723067551,0.125,0.261,0.143534520905954,"AS-","RP11-347P5.1"
"CLIC3",1.18466815005329e-05,-0.380530888138639,0.416,0.588,0.16605493459297,"AS-","CLIC3"
"ANXA6",1.26650391353212e-05,-0.402081588029096,0.251,0.409,0.177525853559797,"AS-","ANXA6"
"AREG",1.55377161538499e-05,-0.564785156570118,0.057,0.168,0.217792167328513,"AS-","AREG"
"TCL1A",1.69412992063459e-05,0.303717186726136,0.129,0.037,0.23746619097535,"AS-","TCL1A"
