"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"XIST",7.21418353856254e-08,-0.511655379929557,0,0.194,0.00101121210660031,"AS-","XIST"
"MT-CYB",1.81219420370437e-07,-0.279195016644214,0.986,0.99,0.00254015261533242,"AS-","MT-CYB"
"RPS26",1.80133847360484e-06,0.435922138175727,0.957,0.825,0.025249361384519,"AS-","RPS26"
"IFITM1",4.73825633136283e-05,0.632929899613343,0.464,0.223,0.664161389967127,"AS-","IFITM1"
"CD53",6.30007718275274e-05,0.306851347615768,0.703,0.447,0.883081818706452,"AS-","CD53"
"MAN1B1",9.99016774385191e-05,-0.26102142257671,0.007,0.126,1,"AS-","MAN1B1"
"HLA-DQA2",0.000166271709886822,-0.439399511352001,0.109,0.301,1,"AS-","HLA-DQA2"
"S100A8",0.000233818477758413,0.31390342926836,0.275,0.087,1,"AS-","S100A8"
"RPS4Y1",0.000261619910677645,0.325400220190525,0.906,0.602,1,"AS-","RPS4Y1"
"SELL",0.000292889382182686,0.364540968130538,0.688,0.427,1,"AS-","SELL"
"USB1",0.000365108897935461,0.267181274042039,0.116,0,1,"AS-","USB1"
"TRADD",0.000393015509829022,0.430841875154173,0.297,0.107,1,"AS-","TRADD"
"LUC7L3",0.000454522890359666,0.401615219383389,0.493,0.282,1,"AS-","LUC7L3"
"NR4A2",0.000747608804014029,-0.311742543933131,0.029,0.146,1,"AS-","NR4A2"
"FKBP2",0.000984141321510413,0.306518500803853,0.21,0.058,1,"AS-","FKBP2"
"ALKBH6",0.00137454220125497,0.258165408196829,0.116,0.01,1,"AS-","ALKBH6"
"DPY30",0.00138829225662841,0.268260140284732,0.275,0.107,1,"AS-","DPY30"
"LY6E",0.00159261384958421,0.293621849216036,0.739,0.544,1,"AS-","LY6E"
"IRF1",0.001620585969453,0.444462080860367,0.399,0.223,1,"AS-","IRF1"
"CD3D",0.0016381374313452,0.384870823590839,0.384,0.194,1,"AS-","CD3D"
"GPX1",0.00170594980658909,0.335595520968083,0.58,0.369,1,"AS-","GPX1"
"S100A9",0.00173244998848801,0.348084956830718,0.319,0.146,1,"AS-","S100A9"
"POU2F2",0.00175559177794087,-0.402632852803471,0.341,0.505,1,"AS-","POU2F2"
"PSMC6",0.00182943448551169,0.381858471481297,0.275,0.117,1,"AS-","PSMC6"
"ILF3-AS1",0.00186927960259375,0.367385562918937,0.341,0.165,1,"AS-","ILF3-AS1"
"STAT6",0.00226826805369136,0.262039307981139,0.254,0.097,1,"AS-","STAT6"
"TRIB3",0.00252996126710893,-0.269603381714088,0.022,0.117,1,"AS-","TRIB3"
"GNAI2",0.00254388907345755,0.337973971477477,0.362,0.194,1,"AS-","GNAI2"
"RBM3",0.00256076541335259,-0.314235471753735,0.725,0.806,1,"AS-","RBM3"
"IGLC2",0.00319908620065268,0.618957282532413,0.275,0.117,1,"AS-","IGLC2"
"USE1",0.00341149816396473,0.258054610643378,0.188,0.058,1,"AS-","USE1"
"UQCR10",0.00344862097084279,0.323048642538182,0.5,0.311,1,"AS-","UQCR10"
"B4GALT3",0.00371342312403397,0.251746575557066,0.101,0.01,1,"AS-","B4GALT3"
"NDUFB9",0.00376594798824154,0.25820428730164,0.471,0.262,1,"AS-","NDUFB9"
"C14orf1",0.00406564878456369,0.259652680611539,0.152,0.039,1,"AS-","C14orf1"
"IDH3B",0.00450459818712805,0.2891284915959,0.239,0.097,1,"AS-","IDH3B"
"NAAA",0.00451667901339301,-0.292181655742014,0.051,0.155,1,"AS-","NAAA"
"HEBP2",0.00463557897474425,0.33030256326082,0.196,0.068,1,"AS-","HEBP2"
"ATP5J2",0.0047175487960766,0.290379235521805,0.522,0.33,1,"AS-","ATP5J2"
"IDI1",0.00503420154955016,0.272144441462615,0.21,0.078,1,"AS-","IDI1"
"ALKBH7",0.00535542914955905,0.328373377615924,0.312,0.155,1,"AS-","ALKBH7"
"DDX39A",0.00541766660507472,0.35342209473489,0.21,0.087,1,"AS-","DDX39A"
"TIFA",0.00580430679627526,0.256426462187215,0.13,0.029,1,"AS-","TIFA"
"PNKP",0.00599503448983931,0.316512480022511,0.145,0.039,1,"AS-","PNKP"
"GADD45B",0.00600487332452151,-0.41511857582865,0.159,0.282,1,"AS-","GADD45B"
"LST1",0.00611221648819654,0.298042955279567,0.29,0.136,1,"AS-","LST1"
"ARF1",0.00738448186705442,-0.367272716801259,0.319,0.456,1,"AS-","ARF1"
"ITGB2",0.00756749991072006,-0.282418246159398,0.297,0.456,1,"AS-","ITGB2"
"BCL7C",0.00770998807295311,0.273170128709038,0.188,0.068,1,"AS-","BCL7C"
"GABPB1",0.00815540379328249,0.268883720316807,0.333,0.165,1,"AS-","GABPB1"
"EIF2AK2",0.00816534448166636,0.252506811012492,0.159,0.049,1,"AS-","EIF2AK2"
"MAX",0.00846498712555513,0.272586078822483,0.254,0.117,1,"AS-","MAX"
"EAF2",0.00951677237701893,0.275318293800043,0.362,0.194,1,"AS-","EAF2"
"XIST.1",7.21418353856254e-08,0.511655379929557,0.194,0,0.00101121210660031,"AS+","XIST"
"MT-CYB.1",1.81219420370437e-07,0.279195016644214,0.99,0.986,0.00254015261533242,"AS+","MT-CYB"
"RPS26.1",1.80133847360484e-06,-0.435922138175727,0.825,0.957,0.025249361384519,"AS+","RPS26"
"IFITM1.1",4.73825633136283e-05,-0.632929899613343,0.223,0.464,0.664161389967127,"AS+","IFITM1"
"CD53.1",6.30007718275274e-05,-0.306851347615768,0.447,0.703,0.883081818706452,"AS+","CD53"
"MAN1B1.1",9.99016774385191e-05,0.26102142257671,0.126,0.007,1,"AS+","MAN1B1"
"HLA-DQA2.1",0.000166271709886822,0.439399511352001,0.301,0.109,1,"AS+","HLA-DQA2"
"S100A8.1",0.000233818477758413,-0.31390342926836,0.087,0.275,1,"AS+","S100A8"
"RPS4Y1.1",0.000261619910677645,-0.325400220190525,0.602,0.906,1,"AS+","RPS4Y1"
"SELL.1",0.000292889382182686,-0.364540968130538,0.427,0.688,1,"AS+","SELL"
"USB1.1",0.000365108897935461,-0.267181274042039,0,0.116,1,"AS+","USB1"
"TRADD.1",0.000393015509829022,-0.430841875154173,0.107,0.297,1,"AS+","TRADD"
"LUC7L3.1",0.000454522890359666,-0.401615219383389,0.282,0.493,1,"AS+","LUC7L3"
"NR4A2.1",0.000747608804014029,0.311742543933131,0.146,0.029,1,"AS+","NR4A2"
"FKBP2.1",0.000984141321510413,-0.306518500803853,0.058,0.21,1,"AS+","FKBP2"
"ALKBH6.1",0.00137454220125497,-0.258165408196829,0.01,0.116,1,"AS+","ALKBH6"
"DPY30.1",0.00138829225662841,-0.268260140284732,0.107,0.275,1,"AS+","DPY30"
"LY6E.1",0.00159261384958421,-0.293621849216036,0.544,0.739,1,"AS+","LY6E"
"IRF1.1",0.001620585969453,-0.444462080860367,0.223,0.399,1,"AS+","IRF1"
"CD3D.1",0.0016381374313452,-0.384870823590839,0.194,0.384,1,"AS+","CD3D"
"GPX1.1",0.00170594980658909,-0.335595520968083,0.369,0.58,1,"AS+","GPX1"
"S100A9.1",0.00173244998848801,-0.348084956830718,0.146,0.319,1,"AS+","S100A9"
"POU2F2.1",0.00175559177794087,0.402632852803471,0.505,0.341,1,"AS+","POU2F2"
"PSMC6.1",0.00182943448551169,-0.381858471481297,0.117,0.275,1,"AS+","PSMC6"
"ILF3-AS1.1",0.00186927960259375,-0.367385562918937,0.165,0.341,1,"AS+","ILF3-AS1"
"STAT6.1",0.00226826805369136,-0.262039307981139,0.097,0.254,1,"AS+","STAT6"
"TRIB3.1",0.00252996126710893,0.269603381714088,0.117,0.022,1,"AS+","TRIB3"
"GNAI2.1",0.00254388907345755,-0.337973971477477,0.194,0.362,1,"AS+","GNAI2"
"RBM3.1",0.00256076541335259,0.314235471753735,0.806,0.725,1,"AS+","RBM3"
"IGLC2.1",0.00319908620065268,-0.618957282532413,0.117,0.275,1,"AS+","IGLC2"
