"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS26",3.77345028698214e-37,0.917756294766638,0.844,0.623,5.28924526726286e-33,"AS-","RPS26"
"XIST",7.46521063561754e-21,-0.413216829806314,0,0.115,1.04639857479451e-16,"AS-","XIST"
"IGHA1",5.8373081912704e-19,0.57809054749352,0.246,0.037,8.18215489170372e-15,"AS-","IGHA1"
"JUNB",1.11064691507841e-18,-0.644451550635255,0.608,0.793,1.55679378086541e-14,"AS-","JUNB"
"RPS10",1.99308513375964e-18,0.306698068744127,0.989,0.97,2.79370743199089e-14,"AS-","RPS10"
"DUSP1",1.59790138103097e-17,-0.618000162995466,0.434,0.626,2.23977836579111e-13,"AS-","DUSP1"
"CXCR4",3.2602162117801e-17,-0.390220068423179,0.884,0.943,4.56984506405217e-13,"AS-","CXCR4"
"HLA-A",2.39411371508772e-16,-0.315356252488145,0.955,0.963,3.35582919443845e-12,"AS-","HLA-A"
"SNHG7",5.07559702043237e-15,0.496054431259138,0.476,0.234,7.11446434354005e-11,"AS-","SNHG7"
"RPS4Y1",1.93364141440416e-14,0.311076726113931,0.864,0.559,2.71038517057031e-10,"AS-","RPS4Y1"
"JCHAIN",7.44745238338902e-14,0.565674881838803,0.426,0.209,1.04390940057964e-09,"AS-","JCHAIN"
"RP11-347P5.1",3.66891013115598e-13,-0.449515855977932,0.301,0.499,5.14271133084133e-09,"AS-","RP11-347P5.1"
"GNLY",2.80374433430947e-11,-0.400268503442638,0.512,0.656,3.93000843340159e-07,"AS-","GNLY"
"S100A9",2.38709176796023e-10,0.402379396996323,0.293,0.127,3.34598653114985e-06,"AS-","S100A9"
"IFI44L",1.60471936107038e-07,0.411033054365655,0.161,0.055,0.00224933512841235,"AS-","IFI44L"
"CD69",2.3241529349765e-07,-0.381459807794112,0.264,0.392,0.00325776516895657,"AS-","CD69"
"XAF1",3.36260049304388e-07,0.324874893512078,0.184,0.072,0.00471335711109961,"AS-","XAF1"
"POLR2J3",6.1185865214625e-07,0.284752133947425,0.525,0.367,0.00857642272713398,"AS-","POLR2J3"
"ACAT1",3.32956987683286e-06,-0.271612580051475,0.063,0.145,0.0466705809635663,"AS-","ACAT1"
"AC079767.4",5.8015649978154e-06,-0.328103929069894,0.106,0.2,0.0813205365743784,"AS-","AC079767.4"
"ZFP36L2",6.10998122395241e-06,-0.314663972507745,0.633,0.711,0.0856436068161409,"AS-","ZFP36L2"
"LY6E",9.41927877116554e-06,0.262879065119119,0.584,0.454,0.132030030535427,"AS-","LY6E"
"HLA-DRB5",1.23692343345917e-05,0.457154630790817,0.193,0.1,0.173379557667971,"AS-","HLA-DRB5"
"IFITM3",4.07635086508467e-05,0.266982274141606,0.197,0.105,0.571382100758919,"AS-","IFITM3"
"DDIT4",5.89398867997558e-05,-0.269055002420228,0.122,0.209,0.826160393272177,"AS-","DDIT4"
"IFI6",6.20820562524143e-05,0.286692301824068,0.133,0.057,0.870204182490091,"AS-","IFI6"
"RGS2",0.00019388029147285,-0.283988514033758,0.056,0.117,1,"AS-","RGS2"
"FOS",0.000194096830129935,-0.327877655677613,0.18,0.264,1,"AS-","FOS"
"AC245100.1",0.000499663136189658,0.253030445925578,0.176,0.102,1,"AS-","AC245100.1"
"RPS26.1",3.77345028698214e-37,-0.917756294766638,0.623,0.844,5.28924526726286e-33,"AS+","RPS26"
"XIST.1",7.46521063561754e-21,0.413216829806314,0.115,0,1.04639857479451e-16,"AS+","XIST"
"IGHA1.1",5.8373081912704e-19,-0.57809054749352,0.037,0.246,8.18215489170372e-15,"AS+","IGHA1"
"JUNB.1",1.11064691507841e-18,0.644451550635255,0.793,0.608,1.55679378086541e-14,"AS+","JUNB"
"RPS10.1",1.99308513375964e-18,-0.306698068744127,0.97,0.989,2.79370743199089e-14,"AS+","RPS10"
"DUSP1.1",1.59790138103097e-17,0.618000162995466,0.626,0.434,2.23977836579111e-13,"AS+","DUSP1"
"CXCR4.1",3.2602162117801e-17,0.390220068423179,0.943,0.884,4.56984506405217e-13,"AS+","CXCR4"
"HLA-A.1",2.39411371508772e-16,0.315356252488145,0.963,0.955,3.35582919443845e-12,"AS+","HLA-A"
"SNHG7.1",5.07559702043237e-15,-0.496054431259138,0.234,0.476,7.11446434354005e-11,"AS+","SNHG7"
"RPS4Y1.1",1.93364141440416e-14,-0.311076726113931,0.559,0.864,2.71038517057031e-10,"AS+","RPS4Y1"
"JCHAIN.1",7.44745238338902e-14,-0.565674881838803,0.209,0.426,1.04390940057964e-09,"AS+","JCHAIN"
"RP11-347P5.1.1",3.66891013115598e-13,0.449515855977932,0.499,0.301,5.14271133084133e-09,"AS+","RP11-347P5.1"
"GNLY.1",2.80374433430947e-11,0.400268503442638,0.656,0.512,3.93000843340159e-07,"AS+","GNLY"
"S100A9.1",2.38709176796023e-10,-0.402379396996323,0.127,0.293,3.34598653114985e-06,"AS+","S100A9"
"IFI44L.1",1.60471936107038e-07,-0.411033054365655,0.055,0.161,0.00224933512841235,"AS+","IFI44L"
"CD69.1",2.3241529349765e-07,0.381459807794112,0.392,0.264,0.00325776516895657,"AS+","CD69"
"XAF1.1",3.36260049304388e-07,-0.324874893512078,0.072,0.184,0.00471335711109961,"AS+","XAF1"
"POLR2J3.1",6.1185865214625e-07,-0.284752133947425,0.367,0.525,0.00857642272713398,"AS+","POLR2J3"
"ACAT1.1",3.32956987683286e-06,0.271612580051475,0.145,0.063,0.0466705809635663,"AS+","ACAT1"
"AC079767.4.1",5.8015649978154e-06,0.328103929069894,0.2,0.106,0.0813205365743784,"AS+","AC079767.4"
"ZFP36L2.1",6.10998122395241e-06,0.314663972507745,0.711,0.633,0.0856436068161409,"AS+","ZFP36L2"
"LY6E.1",9.41927877116554e-06,-0.262879065119119,0.454,0.584,0.132030030535427,"AS+","LY6E"
"HLA-DRB5.1",1.23692343345917e-05,-0.457154630790817,0.1,0.193,0.173379557667971,"AS+","HLA-DRB5"
"IFITM3.1",4.07635086508467e-05,-0.266982274141606,0.105,0.197,0.571382100758919,"AS+","IFITM3"
"DDIT4.1",5.89398867997558e-05,0.269055002420228,0.209,0.122,0.826160393272177,"AS+","DDIT4"
"IFI6.1",6.20820562524143e-05,-0.286692301824068,0.057,0.133,0.870204182490091,"AS+","IFI6"
"RGS2.1",0.00019388029147285,0.283988514033758,0.117,0.056,1,"AS+","RGS2"
"FOS.1",0.000194096830129935,0.327877655677613,0.264,0.18,1,"AS+","FOS"
"AC245100.1.1",0.000499663136189658,-0.253030445925578,0.102,0.176,1,"AS+","AC245100.1"
