"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"NKG7",2.40667473641995e-09,-0.826906515840351,0.393,0.778,3.37343597803984e-05,"AS-","NKG7"
"CD74",1.63730909973195e-07,0.427390993715845,0.964,0.843,0.00229501616509427,"AS-","CD74"
"IGHA1",4.23703102425115e-05,0.304059081541686,0.125,0.01,0.593904638669284,"AS-","IGHA1"
"RP11-347P5.1",5.49620485831438e-05,-0.565975656979544,0.071,0.359,0.770403034989927,"AS-","RP11-347P5.1"
"SART1",0.000205156906579777,0.373080825575922,0.232,0.066,1,"AS-","SART1"
"C1orf162",0.000221652026984881,-0.585933999001318,0.089,0.343,1,"AS-","C1orf162"
"CST3",0.000233794068378687,0.394152401198024,0.179,0.04,1,"AS-","CST3"
"RP1-40E16.12",0.00025920963299803,0.3028376501131,0.107,0.01,1,"AS-","RP1-40E16.12"
"ITGB2",0.000319883488282263,-0.527163297735347,0.429,0.682,1,"AS-","ITGB2"
"ATXN7L3B",0.000561836578831115,0.420871182768672,0.125,0.02,1,"AS-","ATXN7L3B"
"TMEM115",0.000561836578831115,0.317965394146192,0.125,0.02,1,"AS-","TMEM115"
"S100A9",0.00057197385910006,0.341598287611245,0.214,0.061,1,"AS-","S100A9"
"AHSA2",0.000639344510539025,0.342603073607389,0.125,0.02,1,"AS-","AHSA2"
"MRPL32",0.000654334351719825,0.396378712455868,0.214,0.061,1,"AS-","MRPL32"
"SH3YL1",0.000676051708700876,-0.524390043338622,0.054,0.268,1,"AS-","SH3YL1"
"DDIT4",0.000761329264093595,-0.413401795217643,0.321,0.616,1,"AS-","DDIT4"
"C9orf78",0.000865684944112022,-0.468192497612297,0.232,0.495,1,"AS-","C9orf78"
"LY6E",0.000881513322153517,0.477766068019698,0.804,0.641,1,"AS-","LY6E"
"VHL",0.00104820891301242,0.29060900327506,0.107,0.015,1,"AS-","VHL"
"SOD1",0.00105188146597132,-0.380113578995452,0.429,0.687,1,"AS-","SOD1"
"DMXL1",0.00114160469561651,0.268698262103134,0.143,0.03,1,"AS-","DMXL1"
"IGHM",0.00123274404382101,0.380263978871512,0.179,0.051,1,"AS-","IGHM"
"TMEM138",0.00129419122569591,0.298945426615479,0.161,0.04,1,"AS-","TMEM138"
"COQ7",0.00133776230597869,0.279172940583762,0.161,0.04,1,"AS-","COQ7"
"SRSF5",0.00134599881821608,-0.358171314450422,0.607,0.778,1,"AS-","SRSF5"
"C1orf56",0.00147738946286516,0.59338267547691,0.554,0.364,1,"AS-","C1orf56"
"CITED2",0.00149372020685233,-0.458342076321183,0.107,0.338,1,"AS-","CITED2"
"EIF3K",0.00149816756220786,-0.274041558149641,0.607,0.813,1,"AS-","EIF3K"
"ACTB",0.00161019008608357,-0.292011269895299,0.982,1,1,"AS-","ACTB"
"MAPK14",0.00163583728279696,0.276088169104001,0.125,0.025,1,"AS-","MAPK14"
"TMEM123",0.00169718646992948,0.408885984847748,0.732,0.586,1,"AS-","TMEM123"
"CDC42SE1",0.0017418491044499,0.559075327237179,0.482,0.278,1,"AS-","CDC42SE1"
"FAM134A",0.00177955160892065,-0.419528315204848,0.018,0.192,1,"AS-","FAM134A"
"UQCRH",0.00191068512124576,-0.440357256167745,0.429,0.641,1,"AS-","UQCRH"
"SLC25A3",0.00204672615787809,-0.462641347675945,0.232,0.47,1,"AS-","SLC25A3"
"VAMP2",0.00271299575336611,0.384747339595367,0.732,0.611,1,"AS-","VAMP2"
"RGCC",0.00274191750962799,-0.458719035083984,0.143,0.369,1,"AS-","RGCC"
"DIP2A",0.00287529190227753,0.265262810032916,0.107,0.02,1,"AS-","DIP2A"
"APOL1",0.00305229138519359,0.431608471241073,0.107,0.02,1,"AS-","APOL1"
"PPIA",0.00309327319571481,-0.32205422056253,0.679,0.874,1,"AS-","PPIA"
"PIKFYVE",0.00317779958074135,0.259247843001119,0.161,0.045,1,"AS-","PIKFYVE"
"DNAJB1",0.00336997519627518,-0.421516409508314,0.286,0.525,1,"AS-","DNAJB1"
"ARPC5L",0.00341188891874086,-0.360735269564871,0.036,0.202,1,"AS-","ARPC5L"
"ZNF511",0.00358589565757399,0.375285897266942,0.232,0.096,1,"AS-","ZNF511"
"NPC2",0.00368628362755033,0.328549022006173,0.357,0.187,1,"AS-","NPC2"
"PSME1",0.00372861224758848,-0.379027303869216,0.607,0.788,1,"AS-","PSME1"
"LINC00649",0.00373673507430225,0.394768107333043,0.196,0.071,1,"AS-","LINC00649"
"RAB5A",0.00376955382844251,0.343039970343786,0.214,0.081,1,"AS-","RAB5A"
"PYURF",0.00390027107635385,-0.400690640962289,0.232,0.439,1,"AS-","PYURF"
"VEZT",0.00399965397143277,0.309382925951049,0.125,0.03,1,"AS-","VEZT"
"IGLC2",0.00413860628201525,0.284546048188168,0.125,0.03,1,"AS-","IGLC2"
"CFL1",0.00423688050952438,-0.332992328860787,0.857,0.949,1,"AS-","CFL1"
"PSME2",0.00432259574044187,-0.352424921936863,0.339,0.556,1,"AS-","PSME2"
"ELF1",0.00442547832772985,-0.369587321500208,0.179,0.409,1,"AS-","ELF1"
"MIAT",0.00444467034964422,-0.435106267107062,0.036,0.197,1,"AS-","MIAT"
"CELF1",0.00445284210477226,0.383278072351271,0.304,0.146,1,"AS-","CELF1"
"UBE2Z",0.00465224172295551,0.29658418310967,0.143,0.04,1,"AS-","UBE2Z"
"TMEM242",0.00472387778827194,0.296574938531365,0.143,0.04,1,"AS-","TMEM242"
"HLA-DMA",0.00492931601650201,0.383268662908219,0.161,0.051,1,"AS-","HLA-DMA"
"TSR3",0.00511995378513827,-0.328253086527095,0.036,0.192,1,"AS-","TSR3"
"VOPP1",0.00593238659867639,-0.301049649423778,0.089,0.278,1,"AS-","VOPP1"
"GPR183",0.00608819831280653,0.452961496251336,0.393,0.217,1,"AS-","GPR183"
"PRKACB",0.00641029463697986,-0.334776838765795,0,0.121,1,"AS-","PRKACB"
"GADD45B",0.00714731327106173,-0.333875774820083,0.232,0.46,1,"AS-","GADD45B"
"SNX27",0.00727114878740386,0.294778983651465,0.107,0.025,1,"AS-","SNX27"
"RP11-386I14.4",0.00753405227117196,0.298411111184476,0.125,0.035,1,"AS-","RP11-386I14.4"
