"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A9",3.20882712002123e-13,0.80498134622717,0.36,0.041,4.49781297413376e-09,"AS-","S100A9"
"S100B",2.84671326731091e-11,1.74936825794753,0.16,0,3.9902379867897e-07,"AS-","S100B"
"IGHA1",4.17145650719104e-11,0.761427064528321,0.2,0.007,5.84713058612968e-07,"AS-","IGHA1"
"IGKC",6.71327023941588e-11,0.951467905420781,0.6,0.192,9.40999089458923e-07,"AS-","IGKC"
"GNLY",2.22111217348394e-08,-0.468047680193863,1,1,0.000311333293357244,"AS-","GNLY"
"CDCA7L",2.03388688957863e-07,0.357981645310305,0.14,0.007,0.00285089925312236,"AS-","CDCA7L"
"NCBP3",3.79858031494326e-07,0.493117477913738,0.2,0.026,0.00532447002745597,"AS-","NCBP3"
"TCL1A",6.16996852798688e-07,0.500211824434058,0.22,0.033,0.00864844488567921,"AS-","TCL1A"
"ITGA5",3.18815999769111e-06,0.609939794537472,0.12,0.007,0.0446884386876363,"AS-","ITGA5"
"CHST14",3.38388795840784e-06,0.305966981892974,0.12,0.007,0.0474319575130027,"AS-","CHST14"
"ISG15",3.79649878815763e-06,0.726282011029761,0.54,0.236,0.0532155235136055,"AS-","ISG15"
"DENND2D",6.4040289294129e-06,0.570069867276144,0.44,0.155,0.0897652735035807,"AS-","DENND2D"
"YBX3",7.34524209849658e-06,0.357274496284094,0.14,0.015,0.102958258494627,"AS-","YBX3"
"CX3CR1",7.87201636184271e-06,0.600188237409232,0.4,0.133,0.110342053343949,"AS-","CX3CR1"
"IFITM1",1.05671710098865e-05,0.426923355986202,0.94,0.911,0.148120036045579,"AS-","IFITM1"
"SELL",1.11665050677321e-05,0.631587101275282,0.4,0.148,0.156520901534402,"AS-","SELL"
"IFITM3",4.69173504533694e-05,0.761740283109714,0.54,0.299,0.657640501304879,"AS-","IFITM3"
"TSC22D3",7.44798095656387e-05,-0.619843334857336,0.52,0.727,1,"AS-","TSC22D3"
"NDUFA7",7.87058040999379e-05,0.438234819488921,0.34,0.122,1,"AS-","NDUFA7"
"EIF1",9.43109707953923e-05,-0.306296398511629,0.92,0.982,1,"AS-","EIF1"
"CC2D1A",0.000104531702455936,0.305530335470752,0.14,0.022,1,"AS-","CC2D1A"
"CLTC",0.000165517117367142,0.367196498431097,0.2,0.048,1,"AS-","CLTC"
"DDIT4",0.000169713190557466,-0.753661952000006,0.14,0.417,1,"AS-","DDIT4"
"TSPAN17",0.000175903022065505,0.497425086909117,0.2,0.052,1,"AS-","TSPAN17"
"LYZ",0.00023009851282758,0.325253486676602,0.18,0.041,1,"AS-","LYZ"
"SDCCAG8",0.000299513106201683,0.310572849466505,0.14,0.026,1,"AS-","SDCCAG8"
"CLK4",0.000333734359869068,0.2745781673738,0.14,0.026,1,"AS-","CLK4"
"MT-ND2",0.000349502289806716,-0.268841985611939,1,1,1,"AS-","MT-ND2"
"SEC11C",0.000362345683746552,-0.662644389112258,0.04,0.273,1,"AS-","SEC11C"
"CXCR4",0.000362728164247727,-0.637405027185858,0.36,0.605,1,"AS-","CXCR4"
"RPL7A",0.000386668881946514,-0.292166624246559,0.98,0.982,1,"AS-","RPL7A"
"C17orf62",0.000417308907078496,0.422163177541821,0.42,0.192,1,"AS-","C17orf62"
"POLD2",0.000472234233900445,0.373593933317574,0.16,0.037,1,"AS-","POLD2"
"BAG6",0.000616039101366143,0.353999026491287,0.28,0.1,1,"AS-","BAG6"
"LTB",0.000659689569014596,0.542366637316331,0.48,0.262,1,"AS-","LTB"
"ITSN2",0.000663792954150944,0.413010217863574,0.36,0.151,1,"AS-","ITSN2"
"CDCA4",0.000716969606866089,0.262324894463836,0.14,0.03,1,"AS-","CDCA4"
"IFI6",0.000755308839540412,0.416724405405651,0.34,0.137,1,"AS-","IFI6"
"PRMT2",0.000763307331847235,0.494238055868782,0.52,0.299,1,"AS-","PRMT2"
"TBC1D5",0.000784460143028558,0.340330296457041,0.12,0.022,1,"AS-","TBC1D5"
"MIS18A",0.000784460143028558,0.252241899746518,0.12,0.022,1,"AS-","MIS18A"
"AC004951.6",0.000844877344951976,0.256735824025735,0.14,0.03,1,"AS-","AC004951.6"
"YIPF2",0.000859181306702865,0.2717069062376,0.12,0.022,1,"AS-","YIPF2"
"TMEM106B",0.000887192671138234,0.264291404057024,0.14,0.03,1,"AS-","TMEM106B"
"VTI1B",0.000955338590182014,0.46285775751679,0.32,0.129,1,"AS-","VTI1B"
"PHF11",0.0010034489865917,0.454933333002511,0.32,0.137,1,"AS-","PHF11"
"ARHGEF6",0.0010917278401765,0.293975908197725,0.18,0.048,1,"AS-","ARHGEF6"
"CHMP7",0.00125319887267312,0.345139089138666,0.2,0.063,1,"AS-","CHMP7"
"S100A4",0.00129002962040548,-0.280384998706196,0.94,0.978,1,"AS-","S100A4"
"BAZ1A",0.001431134285454,-0.634428482927253,0.06,0.262,1,"AS-","BAZ1A"
"PSMB7",0.00145731299345123,0.411631958636366,0.42,0.214,1,"AS-","PSMB7"
"KIAA0040",0.00180922148935491,0.336736318869352,0.12,0.026,1,"AS-","KIAA0040"
"PSMB9",0.00194798758207188,0.451941550205844,0.68,0.554,1,"AS-","PSMB9"
"EIF3K",0.00210189232701312,-0.41289741660075,0.46,0.635,1,"AS-","EIF3K"
"ZFP36",0.00211660698373331,-0.498713391962177,0.3,0.531,1,"AS-","ZFP36"
"SLC35B1",0.00212794277524366,0.411923117876522,0.2,0.066,1,"AS-","SLC35B1"
"AK9",0.00213110553015022,0.2833208865864,0.12,0.026,1,"AS-","AK9"
"CDC26",0.00228868027062697,-0.513049087868328,0,0.162,1,"AS-","CDC26"
"TRGC2",0.00229101460728632,-0.804122216907056,0.34,0.502,1,"AS-","TRGC2"
"IRF7",0.0023294329535467,0.373877491345143,0.2,0.066,1,"AS-","IRF7"
"BRD4",0.00240848235212043,0.3613284581397,0.34,0.155,1,"AS-","BRD4"
"TMEM167A",0.00250555884164602,0.34946115644873,0.26,0.103,1,"AS-","TMEM167A"
"GTF2IRD2",0.00255544677994914,0.360688233526345,0.18,0.055,1,"AS-","GTF2IRD2"
"KLRG1",0.00256554053613838,0.350597092893506,0.6,0.351,1,"AS-","KLRG1"
"PCNA",0.00285676775798844,0.281635812573049,0.14,0.037,1,"AS-","PCNA"
"CCL4L2",0.00341223150921183,0.47658084020592,0.22,0.085,1,"AS-","CCL4L2"
"NEK7",0.00347677370578393,0.346184398937144,0.12,0.03,1,"AS-","NEK7"
"TTC38",0.00355674286141744,0.379347570903612,0.46,0.258,1,"AS-","TTC38"
"MLST8",0.00358285348002615,0.377932886984761,0.12,0.03,1,"AS-","MLST8"
"STX16",0.00363988460672245,0.287063632861507,0.16,0.048,1,"AS-","STX16"
"FAM71D",0.00368517246970202,0.313464904220141,0.16,0.048,1,"AS-","FAM71D"
"EHMT2",0.00369186928342595,0.347555561537804,0.12,0.03,1,"AS-","EHMT2"
"JUNB",0.00371269631399306,-0.429754732380571,0.76,0.801,1,"AS-","JUNB"
"TNPO1",0.00374750045891248,0.296400770777622,0.12,0.03,1,"AS-","TNPO1"
"NR2C2AP",0.00380389253568034,0.328668692759304,0.12,0.03,1,"AS-","NR2C2AP"
"CD3D",0.00384569757026009,-0.486698905325408,0.54,0.683,1,"AS-","CD3D"
"FAM104A",0.00385503401841495,0.307193933447663,0.2,0.07,1,"AS-","FAM104A"
"VHL",0.00389434640929449,0.363262863014351,0.18,0.063,1,"AS-","VHL"
"RPS11",0.00407015839216382,-0.271551850707297,0.86,0.956,1,"AS-","RPS11"
"MOB4",0.00431857004066671,0.282473461697011,0.22,0.081,1,"AS-","MOB4"
"CKS2",0.00434720211718981,0.278243211827702,0.12,0.03,1,"AS-","CKS2"
"PKM",0.00445790477537957,-0.494310039476562,0.16,0.354,1,"AS-","PKM"
"GIMAP4",0.00452679790456237,0.465464139921533,0.48,0.306,1,"AS-","GIMAP4"
"BST2",0.00473166841005903,0.470769396072659,0.52,0.347,1,"AS-","BST2"
"PREB",0.00480608678605228,0.273084738558746,0.2,0.07,1,"AS-","PREB"
"SEPT6",0.00489917036687101,0.414051636165194,0.42,0.236,1,"AS-","SEPT6"
"IFITM2",0.00495730906390647,0.330944754896539,0.92,0.812,1,"AS-","IFITM2"
"TPT1-AS1",0.00495847772189419,0.277690884108099,0.14,0.041,1,"AS-","TPT1-AS1"
"PTPN6",0.00509122139171514,0.399200687953745,0.34,0.173,1,"AS-","PTPN6"
"IGLC2",0.00527464995888644,0.287124303372319,0.22,0.085,1,"AS-","IGLC2"
"DEF6",0.00531336221905278,0.380945543530463,0.32,0.162,1,"AS-","DEF6"
"CD3G",0.00538410532409357,-0.273199926184864,0.2,0.421,1,"AS-","CD3G"
"STAT1",0.00547777114965148,0.380625473294273,0.28,0.125,1,"AS-","STAT1"
"POLR2J3",0.00574405801229299,0.360504799715218,0.54,0.354,1,"AS-","POLR2J3"
"EID1",0.00607084350166697,-0.473353423275962,0.2,0.395,1,"AS-","EID1"
"SDHAF3",0.00608373282038365,0.2626505024175,0.16,0.052,1,"AS-","SDHAF3"
"LBH",0.00622386541883798,0.349978580008429,0.46,0.244,1,"AS-","LBH"
"LRIF1",0.00637166489636203,0.37874474349104,0.16,0.055,1,"AS-","LRIF1"
"OTUD6B-AS1",0.00661266614959263,0.339480998753715,0.22,0.089,1,"AS-","OTUD6B-AS1"
"SNX5",0.00679040031478443,0.306133367742707,0.24,0.103,1,"AS-","SNX5"
"FRMD8",0.0067909542866635,0.398627314822946,0.2,0.077,1,"AS-","FRMD8"
"COX5A",0.0071839540624361,0.323440107724935,0.5,0.292,1,"AS-","COX5A"
"ARAF",0.00751089055068786,0.274806529451669,0.12,0.033,1,"AS-","ARAF"
"RP11-51J9.5",0.00779773900117899,0.35595349393026,0.24,0.103,1,"AS-","RP11-51J9.5"
"TES",0.00813381154392302,0.507763713927639,0.32,0.173,1,"AS-","TES"
"MOCS2",0.0081459308945657,0.276163396505572,0.18,0.066,1,"AS-","MOCS2"
"HSPA5",0.00818453892868894,-0.425136887126925,0.18,0.376,1,"AS-","HSPA5"
"TNFRSF14",0.00830393138687094,0.375082429151367,0.4,0.232,1,"AS-","TNFRSF14"
"COMMD7",0.0083713679702489,-0.439615885246369,0.1,0.277,1,"AS-","COMMD7"
"RP11-81H14.2",0.00838460205371212,0.327026293564888,0.26,0.111,1,"AS-","RP11-81H14.2"
"NIN",0.00848487835562019,0.275824036802784,0.22,0.092,1,"AS-","NIN"
"RPIA",0.00849303569740923,0.277743489396563,0.28,0.125,1,"AS-","RPIA"
"PFDN1",0.00969129559580177,0.442614720671386,0.28,0.137,1,"AS-","PFDN1"
"RTN3",0.00990129102522878,0.306424280573685,0.2,0.081,1,"AS-","RTN3"
"S100A9.1",3.20882712002123e-13,-0.80498134622717,0.041,0.36,4.49781297413376e-09,"AS+","S100A9"
"S100B.1",2.84671326731091e-11,-1.74936825794753,0,0.16,3.9902379867897e-07,"AS+","S100B"
"IGHA1.1",4.17145650719104e-11,-0.761427064528321,0.007,0.2,5.84713058612968e-07,"AS+","IGHA1"
"IGKC.1",6.71327023941588e-11,-0.951467905420781,0.192,0.6,9.40999089458923e-07,"AS+","IGKC"
"GNLY.1",2.22111217348394e-08,0.468047680193863,1,1,0.000311333293357244,"AS+","GNLY"
"CDCA7L.1",2.03388688957863e-07,-0.357981645310305,0.007,0.14,0.00285089925312236,"AS+","CDCA7L"
"NCBP3.1",3.79858031494326e-07,-0.493117477913738,0.026,0.2,0.00532447002745597,"AS+","NCBP3"
"TCL1A.1",6.16996852798688e-07,-0.500211824434058,0.033,0.22,0.00864844488567921,"AS+","TCL1A"
"ITGA5.1",3.18815999769111e-06,-0.609939794537472,0.007,0.12,0.0446884386876363,"AS+","ITGA5"
"CHST14.1",3.38388795840784e-06,-0.305966981892974,0.007,0.12,0.0474319575130027,"AS+","CHST14"
"ISG15.1",3.79649878815763e-06,-0.726282011029761,0.236,0.54,0.0532155235136055,"AS+","ISG15"
"DENND2D.1",6.4040289294129e-06,-0.570069867276144,0.155,0.44,0.0897652735035807,"AS+","DENND2D"
"YBX3.1",7.34524209849658e-06,-0.357274496284094,0.015,0.14,0.102958258494627,"AS+","YBX3"
"CX3CR1.1",7.87201636184271e-06,-0.600188237409232,0.133,0.4,0.110342053343949,"AS+","CX3CR1"
"IFITM1.1",1.05671710098865e-05,-0.426923355986202,0.911,0.94,0.148120036045579,"AS+","IFITM1"
"SELL.1",1.11665050677321e-05,-0.631587101275282,0.148,0.4,0.156520901534402,"AS+","SELL"
