"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY",1.28625377855054e-33,-0.55526575674313,0.988,1,1.8029419213943e-29,"AS-","GNLY"
"LY6E",5.09398133114953e-18,0.529940974033203,0.89,0.632,7.1402336318723e-14,"AS-","LY6E"
"IGKC",1.12374252620679e-14,0.595698702055444,0.582,0.28,1.57514989898406e-10,"AS-","IGKC"
"S100A9",1.28523514564096e-14,0.58152117054695,0.416,0.117,1.80151410364494e-10,"AS-","S100A9"
"IFITM1",4.7029541156983e-13,0.419363690376744,0.938,0.858,6.5921307839743e-09,"AS-","IFITM1"
"S100B",2.93532512261894e-12,0.990277985596383,0.189,0.004,4.11444522437496e-08,"AS-","S100B"
"ISG15",8.08185057038809e-12,0.605728162419248,0.458,0.188,1.1328329944513e-07,"AS-","ISG15"
"MT-ND2",3.80973339538855e-11,-0.261722179016926,0.99,0.996,5.34010330031613e-07,"AS-","MT-ND2"
"IFI27",4.97215091474425e-10,0.754915760127601,0.147,0,6.96946393719701e-06,"AS-","IFI27"
"CD8A",8.75143788248285e-10,0.306594834312419,0.819,0.531,1.22668904798762e-05,"AS-","CD8A"
"IGHA1",9.18360029709221e-10,0.477685622868542,0.169,0.013,1.28726525364342e-05,"AS-","IGHA1"
"IFI44L",6.75830972233125e-09,0.418509885592127,0.139,0.004,9.47312273779172e-05,"AS-","IFI44L"
"JUN",1.10507637472027e-08,0.494259882702933,0.484,0.264,0.000154898555444541,"AS-","JUN"
"CXCR4",2.92304249327441e-08,-0.40439219971943,0.546,0.703,0.000409722866282274,"AS-","CXCR4"
"DDIT4",3.82793418534607e-08,-0.471038269663274,0.197,0.372,0.000536561534759959,"AS-","DDIT4"
"HLA-DRB5",5.54245454960222e-08,0.310165844764324,0.133,0.008,0.000776885854217744,"AS-","HLA-DRB5"
"STAT1",1.06986438052808e-07,0.50673256008924,0.301,0.13,0.00149962890218621,"AS-","STAT1"
"IFI6",3.25964456039418e-07,0.428695138255629,0.373,0.184,0.00456904378030452,"AS-","IFI6"
"RBM3",6.31624672760746e-07,-0.348265474700152,0.57,0.682,0.00885348303808738,"AS-","RBM3"
"MT-ND5",9.98569637119555e-07,-0.267854201476295,0.882,0.937,0.0139969506035048,"AS-","MT-ND5"
"XAF1",3.09530230489473e-06,0.356713149639551,0.199,0.063,0.0433868524077095,"AS-","XAF1"
"RP11-347P5.1",6.84253586554819e-06,-0.342851098655383,0.197,0.335,0.0959118252273889,"AS-","RP11-347P5.1"
"RNF187",7.07225759618355e-06,0.333134900350099,0.249,0.1,0.0991318347257048,"AS-","RNF187"
"S100A11",8.60078706535515e-06,0.292532973941733,0.588,0.381,0.120557232295083,"AS-","S100A11"
"MT2A",9.20294098530984e-06,-0.348465718802417,0.661,0.762,0.128997623791088,"AS-","MT2A"
"TAP1",9.33974680064399e-06,0.335886318655287,0.408,0.234,0.130915230904627,"AS-","TAP1"
"RNF213",9.41896088065054e-06,0.317682568843199,0.631,0.435,0.132025574664079,"AS-","RNF213"
"TNFRSF14",1.17948810370517e-05,0.320699275316424,0.382,0.218,0.165328847496353,"AS-","TNFRSF14"
"PSMB9",2.84901433205477e-05,0.293590717515338,0.735,0.573,0.399346338924118,"AS-","PSMB9"
"ITGB2",4.88589586545645e-05,-0.272871156400044,0.691,0.762,0.68485602346103,"AS-","ITGB2"
"BTG1",5.04815618397703e-05,-0.254577763999503,0.837,0.845,0.70760005230806,"AS-","BTG1"
"TRIM56",6.80345440014825e-05,0.274523310132205,0.197,0.079,0.953640203268781,"AS-","TRIM56"
"FUS",6.88930988020785e-05,-0.25968665586096,0.406,0.519,0.965674565908735,"AS-","FUS"
"CX3CR1",7.58859821967533e-05,0.347189643774713,0.231,0.109,1,"AS-","CX3CR1"
"LTB",7.74539938639065e-05,0.344662881989025,0.544,0.389,1,"AS-","LTB"
"LINC00152",8.04501791492841e-05,-0.321803240778606,0.317,0.435,1,"AS-","LINC00152"
"PATL2",8.99530058747633e-05,0.315331489145913,0.496,0.326,1,"AS-","PATL2"
"BST2",9.18946350679526e-05,0.36161953608688,0.43,0.289,1,"AS-","BST2"
"TYMP",0.00012239753164516,0.292999706302781,0.227,0.105,1,"AS-","TYMP"
"CMC1",0.000159042795031174,-0.2745854787595,0.171,0.285,1,"AS-","CMC1"
"S100A8",0.000208721307180418,0.255444825364772,0.253,0.121,1,"AS-","S100A8"
"FNBP4",0.000209421683341786,-0.295468676899189,0.066,0.151,1,"AS-","FNBP4"
"PIM1",0.000293371782495349,0.259246415582007,0.315,0.18,1,"AS-","PIM1"
"SIT1",0.000343232023604261,0.255579737881057,0.295,0.163,1,"AS-","SIT1"
"APOL2",0.000426367265566736,0.254063726314771,0.118,0.038,1,"AS-","APOL2"
"SYTL3",0.000482206518442426,-0.33608833672432,0.151,0.247,1,"AS-","SYTL3"
"GBP5",0.000619038899862465,0.250261581817924,0.211,0.105,1,"AS-","GBP5"
"KANSL1-AS1",0.000829381506092194,-0.284729905754853,0.048,0.113,1,"AS-","KANSL1-AS1"
"MZT2A",0.000906414921812203,0.263528970663848,0.329,0.205,1,"AS-","MZT2A"
"ITGAM",0.00114264498815667,-0.274049330783277,0.08,0.155,1,"AS-","ITGAM"
"KLRC2",0.00183723143575554,-0.275316714820532,0.062,0.13,1,"AS-","KLRC2"
"CD320",0.00240043984289317,-0.250114605990708,0.155,0.243,1,"AS-","CD320"
"TYROBP",0.00316036466976727,-0.480527886634051,0.185,0.268,1,"AS-","TYROBP"
"PEBP1",0.00324642848243653,-0.302910725681626,0.293,0.372,1,"AS-","PEBP1"
"NFKBIA",0.00371859307117477,-0.264745536408988,0.157,0.238,1,"AS-","NFKBIA"
"S1PR4",0.00397281016009224,0.272944156361879,0.333,0.23,1,"AS-","S1PR4"
"MVD",0.00510379615797567,-0.262439486698941,0.068,0.126,1,"AS-","MVD"
"FAM215B",0.00713065407700378,-0.255063330891395,0.106,0.176,1,"AS-","FAM215B"
"GNLY.1",1.28625377855054e-33,0.55526575674313,1,0.988,1.8029419213943e-29,"AS+","GNLY"
"LY6E.1",5.09398133114953e-18,-0.529940974033203,0.632,0.89,7.1402336318723e-14,"AS+","LY6E"
"IGKC.1",1.12374252620679e-14,-0.595698702055444,0.28,0.582,1.57514989898406e-10,"AS+","IGKC"
"S100A9.1",1.28523514564096e-14,-0.58152117054695,0.117,0.416,1.80151410364494e-10,"AS+","S100A9"
"IFITM1.1",4.7029541156983e-13,-0.419363690376744,0.858,0.938,6.5921307839743e-09,"AS+","IFITM1"
"S100B.1",2.93532512261894e-12,-0.990277985596383,0.004,0.189,4.11444522437496e-08,"AS+","S100B"
"ISG15.1",8.08185057038809e-12,-0.605728162419248,0.188,0.458,1.1328329944513e-07,"AS+","ISG15"
"MT-ND2.1",3.80973339538855e-11,0.261722179016926,0.996,0.99,5.34010330031613e-07,"AS+","MT-ND2"
"IFI27.1",4.97215091474425e-10,-0.754915760127601,0,0.147,6.96946393719701e-06,"AS+","IFI27"
"CD8A.1",8.75143788248285e-10,-0.306594834312419,0.531,0.819,1.22668904798762e-05,"AS+","CD8A"
"IGHA1.1",9.18360029709221e-10,-0.477685622868542,0.013,0.169,1.28726525364342e-05,"AS+","IGHA1"
"IFI44L.1",6.75830972233125e-09,-0.418509885592127,0.004,0.139,9.47312273779172e-05,"AS+","IFI44L"
"JUN.1",1.10507637472027e-08,-0.494259882702933,0.264,0.484,0.000154898555444541,"AS+","JUN"
"CXCR4.1",2.92304249327441e-08,0.40439219971943,0.703,0.546,0.000409722866282274,"AS+","CXCR4"
"DDIT4.1",3.82793418534607e-08,0.471038269663274,0.372,0.197,0.000536561534759959,"AS+","DDIT4"
"HLA-DRB5.1",5.54245454960222e-08,-0.310165844764324,0.008,0.133,0.000776885854217744,"AS+","HLA-DRB5"
"STAT1.1",1.06986438052808e-07,-0.50673256008924,0.13,0.301,0.00149962890218621,"AS+","STAT1"
"IFI6.1",3.25964456039418e-07,-0.428695138255629,0.184,0.373,0.00456904378030452,"AS+","IFI6"
"RBM3.1",6.31624672760746e-07,0.348265474700152,0.682,0.57,0.00885348303808738,"AS+","RBM3"
"MT-ND5.1",9.98569637119555e-07,0.267854201476295,0.937,0.882,0.0139969506035048,"AS+","MT-ND5"
"XAF1.1",3.09530230489473e-06,-0.356713149639551,0.063,0.199,0.0433868524077095,"AS+","XAF1"
"RP11-347P5.1.1",6.84253586554819e-06,0.342851098655383,0.335,0.197,0.0959118252273889,"AS+","RP11-347P5.1"
"RNF187.1",7.07225759618355e-06,-0.333134900350099,0.1,0.249,0.0991318347257048,"AS+","RNF187"
"S100A11.1",8.60078706535515e-06,-0.292532973941733,0.381,0.588,0.120557232295083,"AS+","S100A11"
"MT2A.1",9.20294098530984e-06,0.348465718802417,0.762,0.661,0.128997623791088,"AS+","MT2A"
"TAP1.1",9.33974680064399e-06,-0.335886318655287,0.234,0.408,0.130915230904627,"AS+","TAP1"
"RNF213.1",9.41896088065054e-06,-0.317682568843199,0.435,0.631,0.132025574664079,"AS+","RNF213"
"TNFRSF14.1",1.17948810370517e-05,-0.320699275316424,0.218,0.382,0.165328847496353,"AS+","TNFRSF14"
"PSMB9.1",2.84901433205477e-05,-0.293590717515338,0.573,0.735,0.399346338924118,"AS+","PSMB9"
"ITGB2.1",4.88589586545645e-05,0.272871156400044,0.762,0.691,0.68485602346103,"AS+","ITGB2"
"BTG1.1",5.04815618397703e-05,0.254577763999503,0.845,0.837,0.70760005230806,"AS+","BTG1"
"TRIM56.1",6.80345440014825e-05,-0.274523310132205,0.079,0.197,0.953640203268781,"AS+","TRIM56"
"FUS.1",6.88930988020785e-05,0.25968665586096,0.519,0.406,0.965674565908735,"AS+","FUS"
"CX3CR1.1",7.58859821967533e-05,-0.347189643774713,0.109,0.231,1,"AS+","CX3CR1"
"LTB.1",7.74539938639065e-05,-0.344662881989025,0.389,0.544,1,"AS+","LTB"
"LINC00152.1",8.04501791492841e-05,0.321803240778606,0.435,0.317,1,"AS+","LINC00152"
"PATL2.1",8.99530058747633e-05,-0.315331489145913,0.326,0.496,1,"AS+","PATL2"
"BST2.1",9.18946350679526e-05,-0.36161953608688,0.289,0.43,1,"AS+","BST2"
"TYMP.1",0.00012239753164516,-0.292999706302781,0.105,0.227,1,"AS+","TYMP"
"CMC1.1",0.000159042795031174,0.2745854787595,0.285,0.171,1,"AS+","CMC1"
"S100A8.1",0.000208721307180418,-0.255444825364772,0.121,0.253,1,"AS+","S100A8"
"FNBP4.1",0.000209421683341786,0.295468676899189,0.151,0.066,1,"AS+","FNBP4"
"PIM1.1",0.000293371782495349,-0.259246415582007,0.18,0.315,1,"AS+","PIM1"
"SIT1.1",0.000343232023604261,-0.255579737881057,0.163,0.295,1,"AS+","SIT1"
"APOL2.1",0.000426367265566736,-0.254063726314771,0.038,0.118,1,"AS+","APOL2"
"SYTL3.1",0.000482206518442426,0.33608833672432,0.247,0.151,1,"AS+","SYTL3"
"GBP5.1",0.000619038899862465,-0.250261581817924,0.105,0.211,1,"AS+","GBP5"
"KANSL1-AS1.1",0.000829381506092194,0.284729905754853,0.113,0.048,1,"AS+","KANSL1-AS1"
"MZT2A.1",0.000906414921812203,-0.263528970663848,0.205,0.329,1,"AS+","MZT2A"
"ITGAM.1",0.00114264498815667,0.274049330783277,0.155,0.08,1,"AS+","ITGAM"
"KLRC2.1",0.00183723143575554,0.275316714820532,0.13,0.062,1,"AS+","KLRC2"
"CD320.1",0.00240043984289317,0.250114605990708,0.243,0.155,1,"AS+","CD320"
"TYROBP.1",0.00316036466976727,0.480527886634051,0.268,0.185,1,"AS+","TYROBP"
"PEBP1.1",0.00324642848243653,0.302910725681626,0.372,0.293,1,"AS+","PEBP1"
"NFKBIA.1",0.00371859307117477,0.264745536408988,0.238,0.157,1,"AS+","NFKBIA"
"S1PR4.1",0.00397281016009224,-0.272944156361879,0.23,0.333,1,"AS+","S1PR4"
"MVD.1",0.00510379615797567,0.262439486698941,0.126,0.068,1,"AS+","MVD"
"FAM215B.1",0.00713065407700378,0.255063330891395,0.176,0.106,1,"AS+","FAM215B"
