"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS26",1.32633181317826e-26,0.946088978269961,0.835,0.655,1.85911930253197e-22,"AS-","RPS26"
"RPS4Y1",1.18287254591143e-19,0.491652565281053,0.881,0.546,1.65803244760405e-15,"AS-","RPS4Y1"
"XIST",7.62545963387434e-14,-0.385038734826398,0,0.116,1.06886067688017e-09,"AS-","XIST"
"JUNB",9.83480773984708e-14,-0.562389175095697,0.618,0.792,1.37854500089437e-09,"AS-","JUNB"
"DUSP1",5.70262582735376e-13,-0.539621848306728,0.423,0.676,7.99337062220176e-09,"AS-","DUSP1"
"HLA-A",1.07827779208525e-12,-0.334974475816126,0.944,0.993,1.51142198116589e-08,"AS-","HLA-A"
"RPS10",6.07214069611296e-11,0.299052635353465,0.991,0.973,8.51131961374154e-07,"AS-","RPS10"
"HLA-DPA1",4.75696912747637e-10,-0.276252161740024,0.939,0.966,6.66784362598363e-06,"AS-","HLA-DPA1"
"IFI44L",4.39395654934383e-09,0.553138577800295,0.182,0.038,6.15900889521525e-05,"AS-","IFI44L"
"GNLY",4.44887043436813e-08,-0.32325060297855,0.488,0.669,0.000623598168785381,"AS-","GNLY"
"LY6E",8.96392552054985e-08,0.385258910891233,0.612,0.44,0.00125647344021547,"AS-","LY6E"
"RP11-347P5.1",2.49896093773761e-07,-0.381130146823923,0.308,0.485,0.0035027935464268,"AS-","RP11-347P5.1"
"S100A9",3.55265719206658e-07,0.45070758252041,0.302,0.147,0.00497975958611973,"AS-","S100A9"
"IGHA1",4.69298642135822e-07,1.11842813423417,0.262,0.102,0.00657815906681781,"AS-","IGHA1"
"HLA-DRB5",4.84280478513205e-07,0.540805004814331,0.21,0.078,0.0067881594673196,"AS-","HLA-DRB5"
"SRSF5",2.45066908894064e-06,-0.300301058383875,0.672,0.758,0.034351028619681,"AS-","SRSF5"
"STAG3",8.36459118554467e-06,-0.28135619586884,0.039,0.126,0.11724647464778,"AS-","STAG3"
"SNHG7",1.67092619058218e-05,0.360063763207102,0.453,0.324,0.234213724133905,"AS-","SNHG7"
"ANXA6",3.24450299985494e-05,-0.31921968266299,0.236,0.369,0.454781985489666,"AS-","ANXA6"
"IFITM1",8.55411012390301e-05,0.351871164765221,0.358,0.229,1,"AS-","IFITM1"
"TSPYL1",9.97170213326028e-05,-0.272148681072098,0.098,0.198,1,"AS-","TSPYL1"
"SNU13",0.000107354301842869,-0.252046667540618,0.252,0.389,1,"AS-","SNU13"
"S100A8",0.000116046354662035,0.328392705554102,0.215,0.113,1,"AS-","S100A8"
"XAF1",0.00013554603007368,0.346560229487965,0.18,0.085,1,"AS-","XAF1"
"GADD45B",0.000165577661501216,-0.308784510077149,0.141,0.256,1,"AS-","GADD45B"
"CCND3",0.00053465853908457,-0.285878255150748,0.258,0.372,1,"AS-","CCND3"
"RCSD1",0.000771088846968039,0.266405567774011,0.655,0.577,1,"AS-","RCSD1"
"TNFAIP8",0.00132410770720869,-0.254054054805791,0.262,0.372,1,"AS-","TNFAIP8"
"SCIMP",0.00142510594345678,-0.324885811888121,0.093,0.171,1,"AS-","SCIMP"
"JCHAIN",0.00280662468431179,0.565613759283228,0.382,0.29,1,"AS-","JCHAIN"
"RP5-887A10.1",0.00687332581961332,-0.270737864580262,0.148,0.225,1,"AS-","RP5-887A10.1"
"SMIM14",0.00748103142295763,-0.293102583566526,0.299,0.386,1,"AS-","SMIM14"
"CRIP1",0.00799177932245999,-0.321400140605925,0.297,0.386,1,"AS-","CRIP1"
"RPS26.1",1.32633181317826e-26,-0.946088978269961,0.655,0.835,1.85911930253197e-22,"AS+","RPS26"
"RPS4Y1.1",1.18287254591143e-19,-0.491652565281053,0.546,0.881,1.65803244760405e-15,"AS+","RPS4Y1"
"XIST.1",7.62545963387434e-14,0.385038734826398,0.116,0,1.06886067688017e-09,"AS+","XIST"
"JUNB.1",9.83480773984708e-14,0.562389175095697,0.792,0.618,1.37854500089437e-09,"AS+","JUNB"
"DUSP1.1",5.70262582735376e-13,0.539621848306728,0.676,0.423,7.99337062220176e-09,"AS+","DUSP1"
"HLA-A.1",1.07827779208525e-12,0.334974475816126,0.993,0.944,1.51142198116589e-08,"AS+","HLA-A"
"RPS10.1",6.07214069611296e-11,-0.299052635353465,0.973,0.991,8.51131961374154e-07,"AS+","RPS10"
