"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"F8A3",6.07587378779965e-10,0.361942695584893,0.127,0.003,8.51655228835876e-06,"AS-","F8A3"
"DIP2A",3.58191135812567e-09,0.664714089342821,0.327,0.065,5.02076515068475e-05,"AS-","DIP2A"
"AC090498.1",2.4450661567656e-07,0.297389490249943,1,0.992,0.00342724923193835,"AS-","AC090498.1"
"IGKC",3.08325943295147e-07,0.613763185132763,0.345,0.099,0.00432180474716808,"AS-","IGKC"
"HLA-B",3.57007179104187e-07,-0.296867902301888,1,1,0.00500416962950339,"AS-","HLA-B"
"HLA-A",3.89610254854616e-07,-0.370598160524455,1,0.997,0.00546116694229715,"AS-","HLA-A"
"HLA-C",8.5870110466332e-07,-0.318183436556229,1,1,0.0120364133840658,"AS-","HLA-C"
"YBX3",9.12063417469827e-07,0.443694773478488,0.145,0.017,0.0127843929226746,"AS-","YBX3"
"UBC",2.33782765696997e-06,-0.451347495603724,0.655,0.847,0.0327693302677481,"AS-","UBC"
"DHX15",2.40016777649175e-06,0.370783100486599,0.182,0.031,0.0336431517230849,"AS-","DHX15"
"IGLC3",2.46415752748424e-06,0.36523367537224,0.109,0.008,0.0345400960627466,"AS-","IGLC3"
"ACTB",5.62994725824598e-06,-0.427656746988142,1,0.997,0.0789149707188339,"AS-","ACTB"
"CD8A",6.47552898391509e-06,0.674231450779802,0.564,0.278,0.0907674897675378,"AS-","CD8A"
"PCNT",1.42953904789555e-05,0.372180809128684,0.127,0.017,0.200378488343519,"AS-","PCNT"
"KLRB1",1.5913206308138e-05,-1.09711016256556,0.309,0.584,0.223055412821171,"AS-","KLRB1"
"ITGB2",2.64423653529893e-05,-0.504311660941599,0.582,0.813,0.370642635152852,"AS-","ITGB2"
"MRPL50",3.58020108172944e-05,0.305919278423272,0.145,0.025,0.501836785626015,"AS-","MRPL50"
"CXCR4",0.000195658608932223,-0.398063393776864,0.582,0.81,1,"AS-","CXCR4"
"HSP90B1",0.000198911828610186,-0.627721565289159,0.164,0.428,1,"AS-","HSP90B1"
"NME4",0.000355988260582647,0.387444515527441,0.164,0.042,1,"AS-","NME4"
"TLN1",0.000363800196096011,0.500255358176538,0.345,0.159,1,"AS-","TLN1"
"UPK3BL",0.000407379998421691,0.308135070745559,0.109,0.02,1,"AS-","UPK3BL"
"CD79A",0.000425079123307306,0.286505511180636,0.164,0.042,1,"AS-","CD79A"
"VPS37A",0.000529263121480983,0.325426559061829,0.127,0.028,1,"AS-","VPS37A"
"PRMT2",0.000540780632856817,0.478032548605595,0.473,0.266,1,"AS-","PRMT2"
"RBM14",0.000708473147620962,0.356703975491294,0.182,0.057,1,"AS-","RBM14"
"CALR",0.000710707649006368,-0.540688723452806,0.309,0.518,1,"AS-","CALR"
"IGHM",0.000768328128277176,0.289828144378038,0.182,0.054,1,"AS-","IGHM"
"AIG1",0.000994813421642445,0.297612626298619,0.109,0.023,1,"AS-","AIG1"
"S100A8",0.0010236636880971,0.306248916454017,0.127,0.031,1,"AS-","S100A8"
"TRIM13",0.00103699131779422,0.288645834946057,0.109,0.023,1,"AS-","TRIM13"
"RP11-347P5.1",0.00129095913948561,-0.587669839012666,0.091,0.295,1,"AS-","RP11-347P5.1"
"TSC22D3",0.00150669097849105,-0.374986237317078,0.636,0.779,1,"AS-","TSC22D3"
"LDHA",0.0015188421623158,-0.505286086049203,0.291,0.507,1,"AS-","LDHA"
"ELMO2",0.00177283711571886,0.304124230446443,0.109,0.025,1,"AS-","ELMO2"
"NFKBIA",0.00180007125720532,-0.517090205310408,0.127,0.34,1,"AS-","NFKBIA"
"P4HTM",0.00181143423859464,0.438646582802987,0.127,0.034,1,"AS-","P4HTM"
