"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS26",3.52564472284069e-52,1.41484800315689,0.944,0.62,4.94189620800579e-48,"AS-","RPS26"
"XIST",1.35394010408534e-43,-0.967241895070903,0,0.312,1.89781784389643e-39,"AS-","XIST"
"RPS4Y1",6.13845758742294e-33,0.842069622865192,0.917,0.328,8.60427600029073e-29,"AS-","RPS4Y1"
"RPS10",2.07554057405775e-17,0.390933793358504,0.989,0.984,2.90928522265675e-13,"AS-","RPS10"
"IGHA1",2.19925845858554e-13,0.699157955553157,0.263,0.016,3.08270058139935e-09,"AS-","IGHA1"
"S100B",5.68369707386242e-10,0.694382777169773,0.249,0.042,7.96683818843295e-06,"AS-","S100B"
"S100A9",1.36686439148887e-07,0.415069522854301,0.335,0.13,0.00191593381754995,"AS-","S100A9"
"ZFP36L2",1.54489359473449e-06,-0.279951097566494,0.799,0.849,0.0216547735173934,"AS-","ZFP36L2"
"NOSIP",7.34500607601765e-06,-0.3273728720644,0.608,0.719,0.102954950167539,"AS-","NOSIP"
"EIF1AY",1.59945754522736e-05,0.341630588993404,0.178,0.052,0.224195964114518,"AS-","EIF1AY"
"ACAT1",1.75611450651492e-05,-0.334331773880844,0.093,0.208,0.246154570378196,"AS-","ACAT1"
"PLP2",2.1190532640097e-05,0.346735811818872,0.314,0.146,0.29702769601624,"AS-","PLP2"
"MT2A",4.78494428426556e-05,0.38854041039715,0.353,0.198,0.670705640325504,"AS-","MT2A"
"RP11-347P5.1",6.06823502579015e-05,-0.296989840862443,0.287,0.432,0.850584503565006,"AS-","RP11-347P5.1"
"LY6E",7.58799807879577e-05,0.334142725928319,0.63,0.469,1,"AS-","LY6E"
"S100A8",0.000253516241036533,0.292241101624806,0.24,0.115,1,"AS-","S100A8"
"VPS28",0.000538271761422247,-0.278302691111319,0.243,0.354,1,"AS-","VPS28"
"HLA-DRB1",0.000540735858600736,0.294778573594996,0.302,0.172,1,"AS-","HLA-DRB1"
"CD40LG",0.000555134491731122,-0.277115169208396,0.071,0.151,1,"AS-","CD40LG"
"IFITM3",0.00057207596508021,0.272451371776228,0.354,0.219,1,"AS-","IFITM3"
"PPCS",0.000702292029143679,-0.282118985741841,0.139,0.234,1,"AS-","PPCS"
"NAAA",0.000789539070841871,-0.26586516711869,0.086,0.172,1,"AS-","NAAA"
"JUNB",0.000943402120605493,-0.347216635396335,0.711,0.729,1,"AS-","JUNB"
"SIPA1",0.00128969411145142,-0.262167096912996,0.088,0.167,1,"AS-","SIPA1"
"IL6R",0.00136107500399449,-0.283034072092067,0.069,0.141,1,"AS-","IL6R"
"LONP2",0.00144681224966192,-0.274086038430331,0.122,0.208,1,"AS-","LONP2"
"SAMD3",0.00338806668686886,0.251391680290316,0.122,0.047,1,"AS-","SAMD3"
"C1orf162",0.00453200264634105,-0.293307433634073,0.222,0.302,1,"AS-","C1orf162"
"CCAR1",0.00707835214160883,-0.25631209990447,0.092,0.156,1,"AS-","CCAR1"
"ATP5F1",0.00857227758479015,-0.288086814868504,0.212,0.292,1,"AS-","ATP5F1"
"LRP10",0.0091401197261665,-0.313531957286597,0.132,0.198,1,"AS-","LRP10"
"RPS26.1",3.52564472284069e-52,-1.41484800315689,0.62,0.944,4.94189620800579e-48,"AS+","RPS26"
"XIST.1",1.35394010408534e-43,0.967241895070903,0.312,0,1.89781784389643e-39,"AS+","XIST"
"RPS4Y1.1",6.13845758742294e-33,-0.842069622865192,0.328,0.917,8.60427600029073e-29,"AS+","RPS4Y1"
"RPS10.1",2.07554057405775e-17,-0.390933793358504,0.984,0.989,2.90928522265675e-13,"AS+","RPS10"
"IGHA1.1",2.19925845858554e-13,-0.699157955553157,0.016,0.263,3.08270058139935e-09,"AS+","IGHA1"
"S100B.1",5.68369707386242e-10,-0.694382777169773,0.042,0.249,7.96683818843295e-06,"AS+","S100B"
"S100A9.1",1.36686439148887e-07,-0.415069522854301,0.13,0.335,0.00191593381754995,"AS+","S100A9"
"ZFP36L2.1",1.54489359473449e-06,0.279951097566494,0.849,0.799,0.0216547735173934,"AS+","ZFP36L2"
"NOSIP.1",7.34500607601765e-06,0.3273728720644,0.719,0.608,0.102954950167539,"AS+","NOSIP"
"EIF1AY.1",1.59945754522736e-05,-0.341630588993404,0.052,0.178,0.224195964114518,"AS+","EIF1AY"
"ACAT1.1",1.75611450651492e-05,0.334331773880844,0.208,0.093,0.246154570378196,"AS+","ACAT1"
"PLP2.1",2.1190532640097e-05,-0.346735811818872,0.146,0.314,0.29702769601624,"AS+","PLP2"
"MT2A.1",4.78494428426556e-05,-0.38854041039715,0.198,0.353,0.670705640325504,"AS+","MT2A"
"RP11-347P5.1.1",6.06823502579015e-05,0.296989840862443,0.432,0.287,0.850584503565006,"AS+","RP11-347P5.1"
"LY6E.1",7.58799807879577e-05,-0.334142725928319,0.469,0.63,1,"AS+","LY6E"
"S100A8.1",0.000253516241036533,-0.292241101624806,0.115,0.24,1,"AS+","S100A8"
"VPS28.1",0.000538271761422247,0.278302691111319,0.354,0.243,1,"AS+","VPS28"
"HLA-DRB1.1",0.000540735858600736,-0.294778573594996,0.172,0.302,1,"AS+","HLA-DRB1"
"CD40LG.1",0.000555134491731122,0.277115169208396,0.151,0.071,1,"AS+","CD40LG"
"IFITM3.1",0.00057207596508021,-0.272451371776228,0.219,0.354,1,"AS+","IFITM3"
"PPCS.1",0.000702292029143679,0.282118985741841,0.234,0.139,1,"AS+","PPCS"
"NAAA.1",0.000789539070841871,0.26586516711869,0.172,0.086,1,"AS+","NAAA"
"JUNB.1",0.000943402120605493,0.347216635396335,0.729,0.711,1,"AS+","JUNB"
"SIPA1.1",0.00128969411145142,0.262167096912996,0.167,0.088,1,"AS+","SIPA1"
"IL6R.1",0.00136107500399449,0.283034072092067,0.141,0.069,1,"AS+","IL6R"
"LONP2.1",0.00144681224966192,0.274086038430331,0.208,0.122,1,"AS+","LONP2"
"SAMD3.1",0.00338806668686886,-0.251391680290316,0.047,0.122,1,"AS+","SAMD3"
"C1orf162.1",0.00453200264634105,0.293307433634073,0.302,0.222,1,"AS+","C1orf162"
"CCAR1.1",0.00707835214160883,0.25631209990447,0.156,0.092,1,"AS+","CCAR1"
"ATP5F1.1",0.00857227758479015,0.288086814868504,0.292,0.212,1,"AS+","ATP5F1"
"LRP10.1",0.0091401197261665,0.313531957286597,0.198,0.132,1,"AS+","LRP10"
