"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"IGHA1",4.46394244699161e-26,0.729104734833874,0.279,0.014,6.25710812794814e-22,"AS-","IGHA1"
"RPS26",1.07070882460243e-25,0.637968903377304,0.959,0.797,1.50081255944523e-21,"AS-","RPS26"
"RPS10",3.0913383955517e-17,0.379351612396414,0.962,0.967,4.33312902904481e-13,"AS-","RPS10"
"S100B",1.81582285129803e-16,0.730204207623918,0.185,0.012,2.54523889066445e-12,"AS-","S100B"
"RPS4Y1",2.82743242732343e-15,0.434916955498022,0.85,0.543,3.96321203337925e-11,"AS-","RPS4Y1"
"XIST",4.62745242276278e-13,-0.614628400998677,0,0.151,6.48630006098659e-09,"AS-","XIST"
"IGLC2",1.10338589821731e-12,0.436417024008873,0.342,0.117,1.5466160135312e-08,"AS-","IGLC2"
"ZFP36L2",2.82691052875071e-08,-0.360782140699664,0.721,0.83,0.000396248048814987,"AS-","ZFP36L2"
"IGKC",2.07516774619622e-07,0.295510350458225,0.182,0.057,0.00290876262984324,"AS-","IGKC"
"CARD8",2.3343478361373e-07,0.360653767442704,0.16,0.045,0.00327205536191365,"AS-","CARD8"
"CARD16",3.21865745433012e-07,0.312980784077907,0.185,0.062,0.00451159215373454,"AS-","CARD16"
"CD8B",3.3632624334468e-07,0.441800715694713,0.326,0.16,0.00471428495296238,"AS-","CD8B"
"CISH",1.39974446081734e-06,0.309210306091992,0.138,0.038,0.0196202181072766,"AS-","CISH"
"LY6E",1.57858617297392e-06,0.315650145744908,0.577,0.392,0.0221270423865755,"AS-","LY6E"
"HLA-DRB1",1.86840457187802e-06,0.275509525237763,0.251,0.11,0.0261894268840142,"AS-","HLA-DRB1"
"PTGER2",5.65569288990076e-06,0.306922905985405,0.169,0.062,0.079275847237739,"AS-","PTGER2"
"CD74",6.34336235617423e-06,0.256891654187228,0.85,0.713,0.0889149101464942,"AS-","CD74"
"ARPC1B",1.19286694673549e-05,0.253267250112745,0.577,0.404,0.167204159923913,"AS-","ARPC1B"
"IFITM3",1.29937601070655e-05,0.308625438365691,0.266,0.134,0.182133535420737,"AS-","IFITM3"
"RP11-347P5.1",2.20180866779527e-05,-0.316585754045218,0.26,0.402,0.308627520964863,"AS-","RP11-347P5.1"
"CYCS",3.68571547625802e-05,0.275512200723596,0.241,0.12,0.516626738307087,"AS-","CYCS"
"BRK1",3.80373134408853e-05,0.255264135189306,0.332,0.184,0.53316902250089,"AS-","BRK1"
"MS4A1",6.14763759690869e-05,0.250594750026058,0.144,0.055,0.861714361958691,"AS-","MS4A1"
"RAN",0.000156304912936479,0.275177026657664,0.357,0.23,1,"AS-","RAN"
"POMP",0.000178976982524596,0.271522822728762,0.241,0.132,1,"AS-","POMP"
"RP4-594I10.3",0.000230060795088999,0.264568113413862,0.166,0.077,1,"AS-","RP4-594I10.3"
"TSHZ2",0.000242678293664219,-0.362389551242622,0.113,0.213,1,"AS-","TSHZ2"
"LYZ",0.000302743314024316,-0.29321235097196,0.072,0.156,1,"AS-","LYZ"
"S100A4",0.000446371335670807,0.278625584021293,0.627,0.514,1,"AS-","S100A4"
"RHBDD2",0.000604484220614736,-0.286168535333152,0.047,0.115,1,"AS-","RHBDD2"
"SMDT1",0.000633037281131254,0.316010001032654,0.423,0.294,1,"AS-","SMDT1"
"S100A11",0.000781462905950592,0.276122390557231,0.266,0.16,1,"AS-","S100A11"
"PSMD5-AS1",0.001127922214338,-0.331116259567506,0.179,0.268,1,"AS-","PSMD5-AS1"
"PPP1R18",0.00128177827545968,0.268070948313581,0.229,0.134,1,"AS-","PPP1R18"
"ACAT1",0.00241787348303548,-0.308618732706911,0.078,0.148,1,"AS-","ACAT1"
"C1orf162",0.00396152644880466,-0.280182020165369,0.191,0.273,1,"AS-","C1orf162"
"ELF1",0.00411021509601566,-0.332355064157342,0.103,0.172,1,"AS-","ELF1"
"NUCKS1",0.00511673599082799,-0.307823120847765,0.176,0.246,1,"AS-","NUCKS1"
"DDX24",0.00553258560203136,-0.292958019747859,0.213,0.287,1,"AS-","DDX24"
"PKN1",0.00602247624243696,-0.251572321781734,0.072,0.132,1,"AS-","PKN1"
"IGHA1.1",4.46394244699161e-26,-0.729104734833874,0.014,0.279,6.25710812794814e-22,"AS+","IGHA1"
"RPS26.1",1.07070882460243e-25,-0.637968903377304,0.797,0.959,1.50081255944523e-21,"AS+","RPS26"
"RPS10.1",3.0913383955517e-17,-0.379351612396414,0.967,0.962,4.33312902904481e-13,"AS+","RPS10"
"S100B.1",1.81582285129803e-16,-0.730204207623918,0.012,0.185,2.54523889066445e-12,"AS+","S100B"
"RPS4Y1.1",2.82743242732343e-15,-0.434916955498022,0.543,0.85,3.96321203337925e-11,"AS+","RPS4Y1"
"XIST.1",4.62745242276278e-13,0.614628400998677,0.151,0,6.48630006098659e-09,"AS+","XIST"
"IGLC2.1",1.10338589821731e-12,-0.436417024008873,0.117,0.342,1.5466160135312e-08,"AS+","IGLC2"
"ZFP36L2.1",2.82691052875071e-08,0.360782140699664,0.83,0.721,0.000396248048814987,"AS+","ZFP36L2"
"IGKC.1",2.07516774619622e-07,-0.295510350458225,0.057,0.182,0.00290876262984324,"AS+","IGKC"
"CARD8.1",2.3343478361373e-07,-0.360653767442704,0.045,0.16,0.00327205536191365,"AS+","CARD8"
"CARD16.1",3.21865745433012e-07,-0.312980784077907,0.062,0.185,0.00451159215373454,"AS+","CARD16"
"CD8B.1",3.3632624334468e-07,-0.441800715694713,0.16,0.326,0.00471428495296238,"AS+","CD8B"
"CISH.1",1.39974446081734e-06,-0.309210306091992,0.038,0.138,0.0196202181072766,"AS+","CISH"
"LY6E.1",1.57858617297392e-06,-0.315650145744908,0.392,0.577,0.0221270423865755,"AS+","LY6E"
"HLA-DRB1.1",1.86840457187802e-06,-0.275509525237763,0.11,0.251,0.0261894268840142,"AS+","HLA-DRB1"
"PTGER2.1",5.65569288990076e-06,-0.306922905985405,0.062,0.169,0.079275847237739,"AS+","PTGER2"
"CD74.1",6.34336235617423e-06,-0.256891654187228,0.713,0.85,0.0889149101464942,"AS+","CD74"
"ARPC1B.1",1.19286694673549e-05,-0.253267250112745,0.404,0.577,0.167204159923913,"AS+","ARPC1B"
"IFITM3.1",1.29937601070655e-05,-0.308625438365691,0.134,0.266,0.182133535420737,"AS+","IFITM3"
"RP11-347P5.1.1",2.20180866779527e-05,0.316585754045218,0.402,0.26,0.308627520964863,"AS+","RP11-347P5.1"
"CYCS.1",3.68571547625802e-05,-0.275512200723596,0.12,0.241,0.516626738307087,"AS+","CYCS"
"BRK1.1",3.80373134408853e-05,-0.255264135189306,0.184,0.332,0.53316902250089,"AS+","BRK1"
"MS4A1.1",6.14763759690869e-05,-0.250594750026058,0.055,0.144,0.861714361958691,"AS+","MS4A1"
"RAN.1",0.000156304912936479,-0.275177026657664,0.23,0.357,1,"AS+","RAN"
"POMP.1",0.000178976982524596,-0.271522822728762,0.132,0.241,1,"AS+","POMP"
"RP4-594I10.3.1",0.000230060795088999,-0.264568113413862,0.077,0.166,1,"AS+","RP4-594I10.3"
"TSHZ2.1",0.000242678293664219,0.362389551242622,0.213,0.113,1,"AS+","TSHZ2"
"LYZ.1",0.000302743314024316,0.29321235097196,0.156,0.072,1,"AS+","LYZ"
"S100A4.1",0.000446371335670807,-0.278625584021293,0.514,0.627,1,"AS+","S100A4"
"RHBDD2.1",0.000604484220614736,0.286168535333152,0.115,0.047,1,"AS+","RHBDD2"
"SMDT1.1",0.000633037281131254,-0.316010001032654,0.294,0.423,1,"AS+","SMDT1"
"S100A11.1",0.000781462905950592,-0.276122390557231,0.16,0.266,1,"AS+","S100A11"
"PSMD5-AS1.1",0.001127922214338,0.331116259567506,0.268,0.179,1,"AS+","PSMD5-AS1"
"PPP1R18.1",0.00128177827545968,-0.268070948313581,0.134,0.229,1,"AS+","PPP1R18"
"ACAT1.1",0.00241787348303548,0.308618732706911,0.148,0.078,1,"AS+","ACAT1"
"C1orf162.1",0.00396152644880466,0.280182020165369,0.273,0.191,1,"AS+","C1orf162"
"ELF1.1",0.00411021509601566,0.332355064157342,0.172,0.103,1,"AS+","ELF1"
"NUCKS1.1",0.00511673599082799,0.307823120847765,0.246,0.176,1,"AS+","NUCKS1"
"DDX24.1",0.00553258560203136,0.292958019747859,0.287,0.213,1,"AS+","DDX24"
"PKN1.1",0.00602247624243696,0.251572321781734,0.132,0.072,1,"AS+","PKN1"
