"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"LTB",6.658084944558e-17,0.572503329385385,0.887,0.667,9.33263766678695e-13,"AS-","LTB"
"IFITM1",1.97421279961529e-16,0.524712430289345,0.88,0.841,2.76725408122076e-12,"AS-","IFITM1"
"IGHA1",6.55204478838512e-16,0.487855996122587,0.162,0,9.18400117987943e-12,"AS-","IGHA1"
"MT-ND2",4.65926144874894e-12,-0.259000617696228,0.996,1,6.53088677271139e-08,"AS-","MT-ND2"
"IGKC",1.49198979574574e-11,0.530746509919275,0.5,0.246,2.0913220966968e-07,"AS-","IGKC"
"CMC1",2.48000401919405e-10,-0.540947721364747,0.466,0.667,3.4762216337043e-06,"AS-","CMC1"
"IFI44L",2.58290836564583e-10,0.360822143439247,0.158,0.021,3.62046265612576e-06,"AS-","IFI44L"
"GNLY",3.08716303158519e-10,-0.434755287807112,0.583,0.741,4.32727642137297e-06,"AS-","GNLY"
"S100A9",6.1223214350472e-10,0.423719394303737,0.368,0.143,8.58165795550567e-06,"AS-","S100A9"
"SELL",2.62314855835943e-09,0.452364185657295,0.444,0.22,3.67686733425241e-05,"AS-","SELL"
"ISG15",4.40615456236288e-09,0.532915309915377,0.383,0.177,6.17610685006405e-05,"AS-","ISG15"
"ITGB2",7.77893399259203e-09,-0.404385864065047,0.534,0.722,0.000109037317774162,"AS-","ITGB2"
"IGLC2",1.21910705403486e-08,0.352708889989893,0.214,0.061,0.000170882235764067,"AS-","IGLC2"
"IFI27",3.23386313635629e-08,0.311068814234839,0.102,0.008,0.000453290595823061,"AS-","IFI27"
"LY6E",1.07528488349049e-07,0.340435938713943,0.774,0.585,0.00150722682118862,"AS-","LY6E"
"IFI6",1.40654210038979e-07,0.460340177700289,0.286,0.122,0.00197155006211636,"AS-","IFI6"
"DDIT4",2.12603545371497e-07,-0.405139834301229,0.192,0.368,0.00298006389547227,"AS-","DDIT4"
"KLRB1",1.48046605942871e-06,-0.83661528076448,0.256,0.41,0.0207516927550123,"AS-","KLRB1"
"LGALS1",2.64367821777791e-06,0.378319205583793,0.447,0.265,0.037056437578593,"AS-","LGALS1"
"NKG7",3.71862828216295e-06,-0.290586356013868,0.914,0.95,0.0521240126310781,"AS-","NKG7"
"RUNX3",5.86676786465269e-06,-0.317283480970804,0.233,0.386,0.0822344851588368,"AS-","RUNX3"
"S100A8",6.60503616892021e-06,0.293833285975145,0.226,0.093,0.0925827919797545,"AS-","S100A8"
"XAF1",1.4519547429883e-05,0.313738599288027,0.177,0.066,0.20352049632467,"AS-","XAF1"
"WIPI2",5.24598781171811e-05,0.307158180764312,0.184,0.077,0.735330111568527,"AS-","WIPI2"
"FAM215B",5.884047226963e-05,-0.372445697389344,0.124,0.241,0.824766899803404,"AS-","FAM215B"
"CLDND1",6.30738773419465e-05,0.274631250319714,0.365,0.214,0.884106538702064,"AS-","CLDND1"
"GTF3C6",7.66187742945415e-05,0.287302724158969,0.233,0.114,1,"AS-","GTF3C6"
"PRMT2",8.9323929092289e-05,0.308910785295098,0.41,0.257,1,"AS-","PRMT2"
"LINC00152",0.000112174761937674,-0.335654229066474,0.195,0.328,1,"AS-","LINC00152"
"HERPUD1",0.000118016057507126,-0.307107266876157,0.312,0.437,1,"AS-","HERPUD1"
"ITM2A",0.000138793454345872,0.338565514487984,0.376,0.233,1,"AS-","ITM2A"
"GLRX",0.000186268327959103,0.278257538529133,0.218,0.108,1,"AS-","GLRX"
"PAG1",0.00020053874923089,0.254666287227907,0.229,0.114,1,"AS-","PAG1"
"CD160",0.000223031541849621,-0.446189822059539,0.083,0.177,1,"AS-","CD160"
"KIAA1551",0.000311599834010499,-0.317402269809912,0.158,0.27,1,"AS-","KIAA1551"
"PATL2",0.000327353144077049,0.364779997348094,0.267,0.153,1,"AS-","PATL2"
"RP11-347P5.1",0.000498843656242672,-0.304061036151835,0.312,0.423,1,"AS-","RP11-347P5.1"
"VIM",0.000618501577665132,0.250939476734445,0.767,0.693,1,"AS-","VIM"
"ZFP36",0.00130592473199847,-0.274302030987011,0.432,0.519,1,"AS-","ZFP36"
"CCNL1",0.00151551931339606,-0.250457181129749,0.368,0.466,1,"AS-","CCNL1"
"MGAT4A",0.00225258375759624,-0.300622475554398,0.226,0.304,1,"AS-","MGAT4A"
"ITGB2-AS1",0.00452647405012351,-0.278303221560491,0.098,0.169,1,"AS-","ITGB2-AS1"
"ITGB1",0.00742553005682186,0.258442987240796,0.263,0.169,1,"AS-","ITGB1"
"ATF7IP",0.0093883371645698,-0.257713543810139,0.086,0.151,1,"AS-","ATF7IP"
"LTB.1",6.658084944558e-17,-0.572503329385385,0.667,0.887,9.33263766678695e-13,"AS+","LTB"
"IFITM1.1",1.97421279961529e-16,-0.524712430289345,0.841,0.88,2.76725408122076e-12,"AS+","IFITM1"
"IGHA1.1",6.55204478838512e-16,-0.487855996122587,0,0.162,9.18400117987943e-12,"AS+","IGHA1"
"MT-ND2.1",4.65926144874894e-12,0.259000617696228,1,0.996,6.53088677271139e-08,"AS+","MT-ND2"
"IGKC.1",1.49198979574574e-11,-0.530746509919275,0.246,0.5,2.0913220966968e-07,"AS+","IGKC"
"CMC1.1",2.48000401919405e-10,0.540947721364747,0.667,0.466,3.4762216337043e-06,"AS+","CMC1"
"IFI44L.1",2.58290836564583e-10,-0.360822143439247,0.021,0.158,3.62046265612576e-06,"AS+","IFI44L"
"GNLY.1",3.08716303158519e-10,0.434755287807112,0.741,0.583,4.32727642137297e-06,"AS+","GNLY"
