,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Cell0,-11.2192922480917,0.9829475438961959,1.12080028808087,12.7157888798094,0.0152075723460502,-1.01868401492525,0.624067824381812,-1.52687976771581,-2.95665193654514,2.57826807581126
Cell1,-13.7823680487508,-0.3390810394273239,1.07712626297326,11.278118748923,-0.816569880529042,-0.59182769306088,0.29964589495819605,-1.23687819299119,0.0484493827049532,-0.9707255690335842
Cell2,-13.768843510282199,-0.274461940354912,0.8077833743605072,15.1721673400651,1.5802057051326999,-0.0531322456527769,-0.41075108423351603,2.07118286138188,-0.24578259633859303,2.5009934941780094
Cell3,-11.1983573338181,0.426996240788536,-2.2733448360980297,6.99661764528288,0.0998023050649173,-1.59078288957406,0.390811763434777,-0.37254681375895704,-0.20246111634779998,0.38112999229857897
Cell4,-12.496844257393201,1.1951847731519099,-0.289208785404524,10.899037233667901,-0.8734793771252559,-1.29410595582323,0.978464390375287,-0.206501333017721,-0.80278254615566,-1.0039114150619801
Cell5,-12.5060363194474,-4.09750925162681,2.99151644769512,8.38773926977301,2.14299478307166,-1.62450459317261,1.21309303083253,-2.30197966323764,-1.46869438589605,-0.566659396078476
Cell6,-14.1446046384233,-0.7360646941788541,0.9538491769381771,13.1016675139569,0.8078063917771501,-2.36541850132256,-0.23604457523298897,-1.4629647553225702,-0.0783862104646064,-0.9388172753139499
Cell7,-13.073093315705302,0.9872578761480459,1.6062133390783402,12.562793198598301,0.7455225780678041,-1.70323200881472,-1.5480506946555002,0.255284934163504,-2.51596048039322,-0.515336247120056
Cell8,-14.7336945174688,-1.5630095930662098,1.07089374608572,16.1473605167607,2.5848045386768903,-0.481957763806162,-1.1493161523956799,0.19308690302162498,0.7411722745092991,-0.27803835824059403
Cell9,-9.052542754594311,1.14417997163404,-1.47322552165212,13.8413206739187,0.105931502038116,-1.4406646173818303,-0.304047691068752,0.730442372443722,-1.83113109460917,1.9068250613562199
Cell10,-14.7294934683361,-1.6108050266241598,3.14850475309215,11.4826063950437,0.194275767714108,-1.060410023965,-0.428425605906057,0.480350117596258,-0.18082032355368,-1.0336585432126602
Cell11,-13.799139648872002,-1.0415814523849498,0.116461118846064,12.664046817093402,0.811001205666557,0.33429168642499396,-0.25085636494040897,-1.82770641458098,1.18005953425611,-0.30508610919339096
Cell12,-10.691870731681199,-5.861341222471959,2.63050090830854,5.0335055902321395,2.2900896530999,-1.4089575410000401,0.21651659546986,0.45099222926822796,1.01157002876189,-2.50305675123106
Cell13,-10.500175469675801,-4.772480692517339,2.25672057107132,9.79700431604833,1.47875695005375,-0.966867360987072,0.419313947343103,-0.261706846244238,1.45623064240338,-0.238785855147019
Cell14,-15.048060679189598,-2.3061631702233902,2.53719015001384,10.8904636045875,0.628679984832621,-1.04988078510191,-0.16919008345717199,-0.58803424134924,0.28375947729240997,-1.5993947800356698
